accuracy_globale,accuracy_minoritaire,macro_f1_arith,weighted_f1,fsg_macro,fsg_weighted,gmean_strict,gmean_smoothed,macro_auc_roc,weighted_auc_roc,auc_pr_macro,accuracy_globale_rank,accuracy_minoritaire_rank,macro_f1_arith_rank,weighted_f1_rank,fsg_macro_rank,fsg_weighted_rank,gmean_strict_rank,gmean_smoothed_rank,macro_auc_roc_rank,weighted_auc_roc_rank,auc_pr_macro_rank,rank_imbalanced,rank_global_cat,config_key,var_MSE,var_MAE,var_MAPE,var_SMAPE,var_R2,var_JS,var_KL,var_MMD,score_continuous,score_categorical,global_rank_score,Rang_Final,config,rank_moyen_global
0.7326875,0.0653562653562653,0.072168600974406,0.673947259320951,9.14800887230661e-05,0.1353870122000861,0.0,0.0056166983369391,0.5289650440505493,0.6240443033877277,0.0975418285065873,11.0,10.0,10.0,11.0,13.0,13.0,1.0,12.0,10.0,12.0,11.0,11.2,11.75,checkpoints_pred16_hist32_vae_nl4_nh4_f16_bs128_cce0.5_dit_hd160_d7_nh4,98.82451804670548,5.564903136304446,8.25774937467244,7.860132351063557,0.7807579438009916,0.14004080031469618,0.15725018001413194,0.007589713694272771,8.41904761904762,11.475,9.94702380952381,10,checkpoints_pred16_hist32_VAE_nl4_nh4_f16_bs128_cce0.5_DIT_hd160_d7_nh4,10.875
0.7254375,0.0562653562653562,0.0669089436358158,0.6748546996079414,0.0001511963994528,0.1609264171843025,0.0,0.0059318271448877,0.5248606337523634,0.6357031751504931,0.0879510394726301,17.0,12.0,12.0,10.0,11.0,11.0,1.0,11.0,12.0,10.0,14.0,12.0,12.0,checkpoints_pred16_hist32_vae_nl4_nh8_f16_bs128_cce0.5_dit_hd160_d7_nh8,120.0468667194828,6.121430991138731,9.46304638184556,8.567968854680908,0.7520625081760114,0.15047106703252539,0.16525142147744484,0.005469799724399543,11.366666666666664,12.0,11.683333333333334,12,checkpoints_pred16_hist32_VAE_nl4_nh8_f16_bs128_cce0.5_DIT_hd160_d7_nh8,12.0
0.741125,0.038083538083538,0.0549893133344134,0.6662358543183261,4.4074476879779547e-05,0.1040957047358216,0.0,0.0038276317354981,0.5180264539030193,0.5929645369663197,0.0929892975184738,9.0,14.0,13.0,13.0,14.0,14.0,1.0,14.0,13.0,15.0,13.0,13.6,12.75,checkpoints_pred16_hist32_vae_nl2_nh8_f16_bs128_cce0.5_dit_hd160_d5_nh8,113.66753282733205,6.071391189685889,9.22209589432155,8.569709672230962,0.7620465548612684,0.14937369202478154,0.17125532914050723,0.006258460050640085,12.342857142857143,13.175,12.758928571428571,14,checkpoints_pred16_hist32_VAE_nl2_nh8_f16_bs128_cce0.5_DIT_hd160_d5_nh8,13.375
0.72925,0.0203931203931203,0.0364801411763782,0.6608946845655818,3.275531051743873e-05,0.0930968727690818,0.0,0.0032660300923108,0.5099427263232116,0.5998987265579437,0.0864246303251532,13.0,15.0,15.0,15.0,15.0,15.0,1.0,15.0,15.0,14.0,15.0,15.0,14.25,checkpoints_pred16_hist32_vae_nl4_nh8_f16_bs128_cce0.5_dit_hd160_d5_nh8,109.7082775666455,5.867850280140127,8.658238681887733,8.31261516388832,0.7633196277245599,0.14499801371975016,0.18362415450675654,0.0079096468374801,10.642857142857142,14.625,12.633928571428571,13,checkpoints_pred16_hist32_VAE_nl4_nh8_f16_bs128_cce0.5_DIT_hd160_d5_nh8,13.625
0.700125,0.04004914004914,0.0544903946491014,0.664580296028477,9.376413652197532e-05,0.1378110477805783,0.0,0.0049494640666262,0.5173522028613216,0.6406549477430225,0.0629179558590243,21.0,13.0,14.0,14.0,12.0,12.0,1.0,13.0,14.0,9.0,17.0,13.8,14.0,checkpoints_pred16_hist32_vae_nl2_nh4_f16_bs128_cce0.5_dit_hd160_d7_nh4,119.16056179040856,6.158455265079226,9.275450062332917,8.764458685306963,0.7384476577715234,0.1306869385990027,0.15327890340139652,0.005078037945219743,12.16190476190476,13.9,13.030952380952382,15,checkpoints_pred16_hist32_VAE_nl2_nh4_f16_bs128_cce0.5_DIT_hd160_d7_nh4,14.5
0.7111875,0.0085995085995086,0.0245793936371022,0.6384525804809559,1.8567490320680423e-05,0.0731247070066299,0.0,0.0024003614627501,0.5041457415142876,0.5495523855862857,0.0422574606466814,20.0,16.0,16.0,20.0,16.0,17.0,1.0,16.0,16.0,16.0,19.0,16.6,18.25,checkpoints_pred16_hist32_vae_nl4_nh4_f16_bs128_cce0.5_dit_hd80_d7_nh4,210.1975238062815,8.254483547951494,11.894382172684,12.029405354169151,0.31041914466764836,0.15800076632828214,0.18082154870491188,0.003551356345409757,15.233333333333334,17.425,16.329166666666666,16,checkpoints_pred16_hist32_VAE_nl4_nh4_f16_bs128_cce0.5_DIT_hd80_d7_nh4,17.125
0.7173125,0.0076167076167076,0.0215886926879972,0.6379212159543398,1.45867092945783e-05,0.0772978828847897,0.0,0.0021276125517161,0.5022689944115263,0.5377152527549264,0.1256634471212261,18.0,18.0,19.0,21.0,17.0,16.0,1.0,17.0,21.0,21.0,9.0,16.0,19.0,checkpoints_pred16_hist32_vae_nl2_nh2_f16_bs128_cce0.5_dit_hd80_d7_nh2,244.97962433725348,8.479561114583698,12.291029743943398,12.891593980097769,0.009621848794017776,0.15028781254023205,0.15713423858280356,0.004984738932096228,16.004761904761903,17.5,16.752380952380953,17,checkpoints_pred16_hist32_VAE_nl2_nh2_f16_bs128_cce0.5_DIT_hd80_d7_nh2,18.0
0.72825,0.0083538083538083,0.0218147474709193,0.6420946046807751,6.142239061130513e-06,0.0530339855749239,0.0,0.0017873237589698,0.5023631631260733,0.5383032734602472,0.0678899276538312,15.0,17.0,18.0,18.0,21.0,21.0,1.0,21.0,20.0,20.0,16.0,18.6,18.5,checkpoints_pred16_hist32_vae_nl3_nh4_f16_bs64_cce0.5_dit_hd80_d7_nh4,233.16424651419965,8.41928256945099,11.813273320948497,12.559374313207199,0.09936087579472441,0.15712714848988868,0.15215633902890158,0.006814325044916172,15.76190476190476,18.55,17.15595238095238,18,checkpoints_pred16_hist32_VAE_nl3_nh4_f16_bs64_cce0.5_DIT_hd80_d7_nh4,18.25
0.73025,0.0056511056511056,0.0228021133346892,0.6433573453893351,1.27033558330984e-05,0.0675501162344519,0.0,0.0021012716318523,0.5026814051577384,0.5410799860657491,0.0400845769057461,12.0,20.0,17.0,17.0,18.0,18.0,1.0,18.0,18.0,19.0,20.0,18.6,16.5,checkpoints_pred16_hist32_vae_nl4_nh2_f16_bs128_cce0.5_dit_hd80_d7_nh2,219.51676143678355,8.803325534539564,13.678802295866404,13.05062408796378,0.24870866251013685,0.16938488220808454,0.21852371247352548,0.008903132556619486,17.77142857142857,17.55,17.660714285714285,20,checkpoints_pred16_hist32_VAE_nl4_nh2_f16_bs128_cce0.5_DIT_hd80_d7_nh2,18.25
0.7290625,0.0058968058968058,0.0208073493756473,0.6436815131006092,8.456507692475972e-06,0.0661411171027043,0.0,0.0018877813571842,0.5028115786973332,0.5456747347949382,0.0544291987772536,14.0,19.0,21.0,16.0,19.0,19.0,1.0,19.0,17.0,17.0,18.0,19.2,16.5,checkpoints_pred16_hist32_vae_nl3_nh2_f16_bs64_cce0.5_dit_hd80_d7_nh2,222.44016327295836,8.297415659206255,12.396249409384739,12.218989119341916,0.20267970875003843,0.1725129662218882,0.260395771651963,0.015030968771877101,17.97142857142857,17.85,17.910714285714285,21,checkpoints_pred16_hist32_VAE_nl3_nh2_f16_bs64_cce0.5_DIT_hd80_d7_nh2,18.75
0.71675,0.0054054054054054,0.0211889207631843,0.6385979731424981,7.170314928065568e-06,0.0553574470276963,0.0,0.0018665748847251,0.5026338047488564,0.5433450329431717,0.0268056399557754,19.0,21.0,20.0,19.0,20.0,20.0,1.0,20.0,19.0,18.0,21.0,20.4,19.0,checkpoints_pred16_hist32_vae_nl2_nh4_f16_bs128_cce0.5_dit_hd80_d7_nh4,193.2715490641371,8.074663212282317,12.198299198745156,11.990202301878359,0.3620205517474047,0.14611697024265186,0.17427205326829745,0.0032799548872884427,15.171428571428573,19.7,17.435714285714287,19,checkpoints_pred16_hist32_VAE_nl2_nh4_f16_bs128_cce0.5_DIT_hd80_d7_nh4,19.0
